property_id,city,property_type,area_sqft,bedrooms,bathrooms,year_built,furnished,parking_spaces,price,agent_name,listing_date,floors,distance_from_center_km,condition,internal_notes,row_number
P101414,Karachi,House,1337.0,3.0,3.0,2007,Yes,2,6650000.0,Usman Iqbal,2024-09-02 00:00:00,3,5.7,Needs Renovation,call later,1415
P101776,Rawalpindi,House,2594.0,5.0,4.0,2021,Yes,2,14143992.676645136,Saad Iqbal,2022-09-08 00:00:00,2,6.0,Excellent,follow up,1777
P102323,Karachi,Apartment,12000.0,4.0,4.0,2003,Yes,1,10450000.0,Ahmed Ahmed,2022-06-20 00:00:00,3,3.6,Good,VIP,2324
P101389,Karachi,House,1649.0,3.0,0.0,2022,Yes,1,9650000.0,Hina Sheikh,2022-09-06 00:00:00,2,6.6,Good,owner waiting,1390
P101379,Lahore,House,976.0,2.0,2.0,2020,No,2,5150000.0,Ahmed Khan,2023-01-27 00:00:00,2,3.5,Average,nan,1380
P102172,Lahore,House,2845.0,6.0,6.0,2003,Yes,1,15000000.0,Danish Malik,2023-08-30 00:00:00,2,6.8,Good,urgent,2173
P101501,Hyderabad,House,1446.0,2.0,1.0,1993,No,2,4700000.0,Hassan Ahmed,2023-08-21 00:00:00,3,6.6,Average,urgent,1502
P100705,Islamabad,House,1341.0,2.0,1.0,2001,Yes,1,10100000.0,Zain Siddiqui,2023-09-21 00:00:00,1,2.5,Good,follow up,706
P100173,Peshawar,Apartment,2412.0,4.0,4.0,2014,No,1,"7,200,000",Hina Butt,2022-10-02 00:00:00,2,3.8,Average,,174
P102342,Rawalpindi,House,1657.0,2.0,2.0,2003,No,1,8400000.0,Zain Malik,2024-04-28 00:00:00,2,3.9,Good,,2343
P102023,Karachi,Villa,1223.0,2.0,2.0,2024,No,1,10500000.0,Saad Butt,2024-04-17 00:00:00,2,10.1,Good,urgent,2024
P102023,Karachi,Villa,1223.0,2.0,2.0,2024,No,1,10500000.0,Saad Butt,2024-04-17 00:00:00,2,10.1,Good,urgent,2024
P101337,ISLAMABAD,House,1695.0,3.0,3.0,1993,No,2,11750000.0,Danish Qureshi,2024-01-22 00:00:00,1,3.2,Average,follow up,1338
P101161,Islamabad,Townhouse,3087.0,6.0,6.0,1988,No,2,24750000.0,Ayesha Siddiqui,2022-12-14 00:00:00,2,6.3,Excellent,call later,1162
P101873,Hyderabad,House,1181.0,3.0,3.0,1994,No,2,3750000.0,Sara Khan,2022-06-02 00:00:00,2,10.4,Average,VIP,1874
P100651,Faisalabad,Apartment,1233.0,3.0,2.0,1994,No,2,3600000.0,Saad Siddiqui,2022-03-22 00:00:00,3,9.3,Good,VIP,652
P101476,Lahore,house,1577.0,2.0,,1992,No,2,7200000.0,Bilal Butt,2024-01-01 00:00:00,1,10.3,Average,follow up,1477
P100976,Lahore,Villa,1521,1.0,1.0,2024,No,2,11050000.0,Hassan Butt,2024-08-19 00:00:00,1,3.9,Good,,977
P100879,Islamabad,Townhouse,1909.0,4.0,3.0,2017,No,2,15350000.0,Ali Qureshi,2022-07-26 00:00:00,2,7.3,Good,VIP,880
P100940,Karachi,House,1922.0,4.0,,2022,Yes,2,10050000.0,Saad Raza,2024-03-18 00:00:00,2,9.4,New,urgent,941
P102025,Lahore,Apartment,1156.0,1.0,1.0,1982,Yes,1,5200000.0,Zain Malik,2022-01-15 00:00:00,3,9.2,Good,follow up,2026
P100941,Faisalabad,Residential House,1451.0,3.0,3.0,1992,Yes,2,5600000.0,Hina Sheikh,2023-06-06 00:00:00,1,13.1,Good,VIP,942
P100836,Rawalpindi,Apartment,1543.0,-3.0,3.0,1998,No,1,"5,550,000",Ahmed Raza,2024-05-18 00:00:00,1,20.3,Average,follow up,837
P102368,Lahore,House,1978.0,3.0,2.0,1991,Yes,3,12550000.0,Usman Butt,2024-02-19 00:00:00,2,13.4,Good,nan,2369
P101193,Hyderabad,Apartment,2217.0,3.0,3.0,2004,No,0,5900000.0,Maham Malik,2025-07-18 00:00:00,3,3.6,Excellent,VIP,1194
P101269,Lahore,Apartment,400.0,1.0,1.0,2023,Yes,3,2300000.0,Sara Siddiqui,2022-03-07 00:00:00,2,2.8,Excellent,VIP,1270
P100044,Multan,Apartment,845.0,2.0,2.0,1990,Yes,1,2500000.0,Saad Khan,2025-06-06 00:00:00,1,2.2,Excellent,follow up,45
P101083,Faisalabad,Apartment,2737.0,4.0,4.0,2009,Yes,1,9400000.0,Zain Sheikh,2024-07-29 00:00:00,1,4.0,Good,nan,1084
P100856,Rawalpindi,Apartment,492.0,1.0,1.0,1996,Yes,1,1700000.0,Zain Malik,2024-12-30 00:00:00,1,6.6,New,follow up,857
P101610,Karachi,House,1200.0,1.0,1.0,2022,No,1,7500000.0,Hina Malik,2024-02-25 00:00:00,2,13.9,New,follow up,1611
P100839, Lahore ,Apartment,2374.0,5.0,4.0,1995,No,0,11750000.0,Hina Siddiqui,2025-03-04 00:00:00,1,1.8,Good,VIP,840
P102279,Islamabad,Apartment,1789.0,3.0,3.0,2003,Yes,0,"9,850,000",Sara Butt,2025-10-06 00:00:00,3,3.2,Good,urgent,2280
P101187,Hyderabad,Townhouse,2119.0,4.0,4.0,1998,No,1,4450000.0,Bilal Raza,2023-12-05 00:00:00,3,15.9,Good,owner waiting,1188
P100479,Lahore,Villa,1421.0,2.0,1.0,2023,Yes,1,12200000.0,Hassan Iqbal,2022-07-09 00:00:00,2,9.6,Average,,480
P101514,Faisalabad,Apartment,1693.0,4.0,4.0,2005,No,0,5350000.0,Saad Khan,2024-11-19 00:00:00,3,17.5,Excellent,VIP,1515
P100764,Peshawar,House,2837.0,6.0,6.0,1987,,1,7000000.0,Hamza Shah,2023-07-26 00:00:00,1,2.2,New,follow up,765
P100056,Lahore,House,1266.0,1.0,1.0,2009,Yes,2,7550000.0,Not Available,2022-01-15 00:00:00,2,15.5,Excellent,VIP,57
P102380,Faisalabad,House,1023.0,2.0,2.0,1995,No,2,3450000.0,Omar Butt,2023-10-14 00:00:00,2,5.9,Excellent,,2381
P100678,Karachi,House,2021.0,5.0,4.0,1997,No,2,12850000.0,Hina Iqbal,2024-05-11 00:00:00,3,4.2,Good,owner waiting,679
P101499,Islamabad,House,1910.0,3.0,3.0,1981,No,3,14300000.0,Ayesha Khan,2022-03-07 00:00:00,2,14.9,Good,urgent,1500
P100518,Karachi,House,2464.0,5.0,0.0,1988,No,1,"14,000,000",,2023-08-05 00:00:00,2,17.2,Excellent,,519
P100741,Karachi,Apartment,3348.0,6.0,5.0,2013,No,4,16250000.0,Hina Malik,2023-04-09 00:00:00,2,10.8,Good,,742
P100134,Islamabad,Apartment,2788.0,5.0,5.0,2003,Yes,2,19800000.0,Fatima Ahmed,2023-09-08 00:00:00,2,11.6,Good,urgent,135
P102427,Rawalpindi,apartment,1911.0,3.0,2.0,2010,No,3,7200000.0,Saad Siddiqui,2024-12-06 00:00:00,4,11.8,Average,follow up,2428
P101064,Lahore,Townhouse,400.0,1.0,,2018,No,2,2200000.0,Hina Siddiqui,2025-09-06 00:00:00,2,4.6,Excellent,urgent,1065
P101559,Faisalabad,Villa,2209.0,5.0,5.0,2019,Yes,3,11750000.0,  Ahmed Raza  ,2022-08-08 00:00:00,2,6.8,Excellent,owner waiting,1560
P101100,Karachi,House,789.0,1.0,1.0,1997,Yes,3,4750000.0,Usman Raza,2025-04-15 00:00:00,3,3.2,Good,VIP,1101
P100554,Karachi,Apartment,2362.0,4.0,4.0,2005,No,1,11200000.0,N/A,2022-09-10 00:00:00,2,7.7,Good,owner waiting,555
P101058,islamabad,Apartment,2197.0,3.0,3.0,2017,No,2,14000000.0,Hina Iqbal,2025-04-09 00:00:00,2,11.1,Good,,1059
P100440,Faisalabad,Townhouse,1865.0,4.0,3.0,1986,No,1,6650000.0,Hamza Shah,2022-08-10 00:00:00,3,9.7,Needs Renovation,nan,441
P102245,Karachi,House,1663.0,3.0,3.0,2017,No,2,7450000.0,Zain Iqbal,2022-11-01 00:00:00,2,7.3,Good,nan,2246
P102032,Lahore,Apartment,1315.0,3.0,3.0,1984,No,1,6050000.0,Saad Raza,2023-07-16 00:00:00,4,3.8,Average,nan,2033
P102032,Lahore,Apartment,1315.0,3.0,3.0,1984,No,1,6050000.0,Saad Raza,2023-07-16 00:00:00,4,3.8,Average,nan,2033
P102032,Lahore,Apartment,1315.0,3.0,3.0,1984,No,1,6050000.0,Saad Raza,2023-07-16 00:00:00,4,3.8,Average,nan,2033
P101992,Lahore,Townhouse,2453.0,4.0,4.0,2021,No,1,12250000.0,Usman Raza,2023-06-25 00:00:00,3,7.5,Good,nan,1993
P101692,Karachi,Apartment,2514.0,3.0,2.0,2023,No,1,10700000.0,Omar Khan,2025-12-13 00:00:00,4,7.6,Good,urgent,1693
P101124,Lahore,Apartment,2094.0,3.0,3.0,2004,No,2,9000000.0,Fatima Malik,2024-12-08 00:00:00,2,6.9,Good,urgent,1125
P101864,Islamabad,Apartment,2662.0,5.0,5.0,2010,Yes,0,21000000.0,Ahmed Butt,2024-01-31 00:00:00,3,11.4,Average,call later,1865
P100168,Lahore,Apartment,1018.0,2.0,1.0,1990,Yes,2,5050000.0,Hassan Khan,2022-09-29 00:00:00,3,9.0,Excellent,,169
P101477,Hyderabad,House,2225.0,3.0,3.0,2013,No,2,6900000.0,Maham Raza,2025-06-02 00:00:00,2,0.6,New,urgent,1478
P100861,Rawalpindi,House,2198.0,3.0,,1984,No,1,9500000.0,Maham Siddiqui,2024-06-25 00:00:00,1,14.2,New,VIP,862
P100233,Islamabad,House,1707.0,4.0,3.0,1999,Yes,1,12800000.0,Fatima Siddiqui,2025-01-07 00:00:00,2,5.8,Excellent,,234
