customer_id,first_name,last_name,birth_year,height_cm,weight,income,experience,city,gender,department,education,payment_method,product_type,satisfaction,food_spending,travel_spending,shopping_spending,purchase_history,random_number,order_date,purchased
10174,Ahmed,Sheikh,1980,167.1,62.3,32957.0,20.0,Lahore,Male,Finance,Bachelor,Debit Card,Furniture,High,4889.0,4404.0,9820.0,10,15413,2024-07-19,Yes
10275,Omar,Malik,1969,153.7,55.0,77760.0,21.2,Karachi,Female,Operations,Bachelor,Credit Card,Clothing,High,2982.0,9686.0,25605.0,8,68381,2025-12-27,Yes
10491,Hamza,Khan,2001,186.6,75.0,167155.0,0.0,Karachi,Female,Marketing,Bachelor,Debit Card,Books,Medium,11635.0,6853.0,6746.0,6,32528,2024-02-24,No
10073,Saad,Raza,1983,175.7,81.0,29157.0,12.7,Rawalpindi,Male,HR,School,Credit Card,Electronics,Medium,15951.0,6040.0,20782.0,5,79715,2025-06-07,No
10306,Hira,Ali,1984,178.6,69.0,74303.0,15.0,Lahore,,HR,Bachelor,Credit Card,Furniture,Medium,20374.0,4410.0,3110.0,7,51332,2024-10-01,No
10077,Hamza,Siddiqui,1991,173.7,76.1,57306.0,7.1,Karachi,Male,Sales,Bachelor,Mobile Wallet,Electronics,Low,6942.0,2649.0,16706.0,8,12883,2024-09-05,No
10477,Fatima,Raza,1971,180.0,79.7,41253.0,27.3,Karachi,Female,HR,School,Bank Transfer,Books,High,5126.0,5403.0,3656.0,7,23460,2026-08-20,Yes
10141,Ayesha,Sheikh,1980,151.7,57.8,25916.0,16.2,Karachi,Male,Finance,Master,Cash,Grocery,High,15382.0,2699.0,10464.0,9,30284,2024-06-14,Yes
10471,Mariam,Butt,1966,174.2,78.6,66934.0,29.7,Karachi,Male,IT,Master,Debit Card,Books,Medium,8254.0,19210.0,19664.0,8,69236,2025-07-06,Yes
10500,Iqra,Siddiqui,1973,172.6,63.0,72278.0,18.1,Karachi,Male,Finance,Bachelor,Mobile Wallet,Grocery,High,7902.0,23000.0,6277.0,8,66286,2025-07-23,No
10219,Sana,Butt,1993,157.1,61.9,68749.0,8.5,Karachi,Male,HR,Bachelor,Bank Transfer,Electronics,High,11374.0,13965.0,15084.0,10,47060,2026-01-02,Yes
10010,Hussain,Ahmed,1994,160.3,53.9,50853.0,2.4,Lahore,Male,IT,Master,Mobile Wallet,Clothing,Medium,2797.0,6294.0,13927.0,7,60785,2024-12-14,Yes
10481,Laiba,Raza,1990,181.7,75.9,98847.0,7.8,Karachi,Female,HR,Master,Credit Card,Books,High,13819.0,8211.0,3392.0,3,46385,2025-08-04,Yes
10079,Ali,Siddiqui,1984,164.5,73.0,78764.0,13.3,Karachi,Female,Finance,Bachelor,Cash,Furniture,Medium,15800.0,3494.0,14656.0,5,87321,2025-07-22,Yes
10323,Sara,Malik,1993,175.9,82.4,132448.0,4.2,Islamabad,Male,IT,PhD,Bank Transfer,Grocery,High,10639.0,12414.0,16415.0,8,4487,2024-02-26,Yes
10313,Saad,Qureshi,1993,188.2,80.0,31045.0,9.6,Karachi,Female,Sales,Master,Cash,Furniture,High,10315.0,2488.0,6877.0,9,87833,2025-03-31,No
10125,Usman,Butt,1994,151.0,56.7,101560.0,6.7,Karachi,Female,Operations,PhD,Cash,Clothing,High,7606.0,7044.0,2359.0,7,69207,2025-07-14,Yes
10385,Hira,Malik,1976,166.5,64.9,42146.0,17.2,Lahore,Male,Operations,Master,Mobile Wallet,Books,High,5113.0,7786.0,19992.0,9,76558,2025-03-20,Yes
10196,Sana,Ahmed,1990,185.0,63.2,92642.0,7.4,Faisalabad,Male,Marketing,Master,Debit Card,Electronics,Low,4573.0,5093.0,10465.0,6,9681,2026-03-13,Yes
10448,Hussain,Malik,1983,168.4,63.1,121984.0,17.7,Lahore,Male,Marketing,Bachelor,Debit Card,Clothing,High,8149.0,15889.0,16593.0,7,24719,2026-03-17,No
10272,Bilal,Ali,1981,168.0,,67533.0,13.7,Lahore,Female,Operations,School,Mobile Wallet,Grocery,Medium,20780.0,11187.0,9613.0,10,71311,2024-03-29,Yes
10279,Ali,Raza,1978,159.3,75.9,72939.0,19.2,Islamabad,Male,Finance,Bachelor,Cash,Books,Medium,20271.0,17336.0,11973.0,9,36765,2024-12-19,Yes
10031,Hamza,Siddiqui,1999,167.5,84.4,117149.0,0.7,Karachi,Female,Marketing,Bachelor,Cash,Grocery,Medium,3817.0,12173.0,7365.0,8,57291,2025-07-07,Yes
10362,Zoya,Qureshi,1978,167.0,51.3,244157.0,16.8,Karachi,Female,Sales,Master,Debit Card,Furniture,Medium,11980.0,9511.0,11526.0,4,59894,2024-02-06,Yes
10421,Fatima,Sheikh,1987,163.8,,47229.0,11.6,Rawalpindi,Female,Operations,Bachelor,Credit Card,Grocery,Low,3625.0,9119.0,7056.0,7,41320,2026-08-25,Yes
